n_topics,umass_coherence
2.0,-1.8197186921899036
3.0,-1.9799598175225974
4.0,-1.90889993082215
5.0,-2.206920240598983
6.0,-2.817132898614684
7.0,-2.2575589029848726
8.0,-2.694618393562185
9.0,-3.0755975929938812
10.0,-2.8129481163247503
11.0,-2.99131680837567
12.0,-3.698971687218513
13.0,-3.3420464282915563
14.0,-3.0192725078496183
15.0,-3.2808905596528017
16.0,-3.53096463794765
17.0,-3.8940331952115117
18.0,-3.811587371493506
19.0,-3.6913256850858627
20.0,-3.8765896632091303
