"track_name","artist_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"I Feel Possessed","Crowded House","7bk6JF7rK9epg3BhPhDcDA",0.572,0.77,9,-5.338,0,0.0292,0.0759,1.97e-06,0.0966,0.828,109.034,227829,4
"Story","Ragoon","6YQXmjPrJNJ4uQAi8tLiBn",0.65,0.388,11,-8.753,0,0.0493,0.247,0,0.272,0.287,143.693,216667,4
"Fade","JIDA","0bE7KVpk5iZqpCoZLJPIVl",0.444,0.455,0,-7.308,0,0.0349,0.923,9.49e-05,0.0997,0.113,101.035,213099,4
"This Life","Moon Sung Nam","02BItKvyYGFIDDX3XBdmFR",0.556,0.413,5,-6.467,1,0.0295,0.574,6.25e-06,0.111,0.22,135.931,222245,4
"비상","Lim Jae Beum","6YZQnBMOVFYsUERkP1BjsM",0.51,0.396,0,-11.616,1,0.0251,0.516,5.18e-06,0.187,0.259,143.877,270002,4
"3 Things (feat. Maddox)","EDEN","6lrQqRjQU21NNJsVSopjy5",0.486,0.649,7,-4.491,1,0.175,0.21,0,0.33,0.5,95.968,204722,4
"My Love","Eddy Kim","77dWovodxf1cOT8kS7gYXQ",0.441,0.291,4,-7.957,1,0.0366,0.839,0,0.108,0.358,146.336,237139,4
"Plant","KIMSEJEONG","3oTeu6YzKhXQIogBgzJr9w",0.408,0.276,7,-7.286,1,0.0352,0.828,0,0.105,0.51,137.916,207107,4
"Fool to Love","KozyPop","1OtY3SP60zYCEZWSbazQU5",0.555,0.649,9,-5.368,0,0.0359,0.775,3.05e-05,0.185,0.409,82.07,164342,4
"MANGO SONG 망고송","Coffeeboy","59RUPrKSCipMW1dvvfewRP",0.73,0.449,2,-8.852,0,0.035,0.767,0.738,0.124,0.291,80.031,223412,4
"Sour Grapes","San E","3YM89neEJceqTD7TZvaHOT",0.767,0.885,8,-2.956,0,0.279,0.116,0,0.145,0.831,92.95,234000,4
"Don’t Wait For Your Love","PARK WON","2k2bJBtMvi1GIrONtpnRLq",0.788,0.351,2,-9.692,1,0.0346,0.778,3.3e-05,0.102,0.534,95.994,253387,4
"Let's Go See The Stars - Berlin Monbijou Park busking Version","Jukjae","2BqEln1GvLClLn31pSIgze",0.58,0.223,2,-12.859,1,0.0328,0.898,1.08e-06,0.46,0.198,66.832,318108,4
"DON`T SAY GOODBYE","ROCOBERRY","0A7XRj5gP3Cx44awg1yOIE",0.507,0.49,4,-6.066,1,0.0279,0.501,0.000231,0.336,0.343,171.696,186823,4
"Grown Ups","Sondia","4GgSIZIRgFdgBzOfTCwrBl",0.47,0.314,2,-7.184,1,0.0351,0.771,0.001,0.0967,0.11,121.572,259887,4
"Hard To Love 나만 안되는 연애","BOL4","2uaC8QIz0OocPl8bFcNFt0",0.526,0.609,0,-5.196,0,0.0432,0.925,1.19e-05,0.1,0.375,68.517,219482,4
"Wishful Thoughts 좋겠어","John OFA Rhee","1pBGI1WdLLtqrQ7rb8WF60",0.525,0.47,7,-10.932,1,0.067,0.712,0.0356,0.13,0.422,77.105,250064,4
"Peach","IU","3hbi6hayJ6OibzGe3fWLwf",0.693,0.193,9,-9.165,1,0.03,0.821,0,0.129,0.391,112.408,190847,4
"Love Story (Feat. CRUSH)","SURAN","5rUZeNNC4R65U6UeElMoss",0.677,0.622,1,-6.171,1,0.0469,0.499,0,0.0907,0.439,90.041,220759,4
"I Want to Be A Pillow","J_ust","0p2Rh63rx8xbxVPwol2EmA",0.698,0.369,7,-5.946,0,0.0406,0.821,0,0.0894,0.596,128.021,223200,4
"#tb 과거의 오늘 - Remastered","015B","1GgiJDzW9EAQNK6QelAqar",0.737,0.441,6,-5.23,1,0.0318,0.594,0,0.0976,0.256,97.531,274895,3
"RIDE (feat. THAMA)","SOLE","6jpFPa2m8PjHurC7508wYB",0.63,0.567,5,-5.462,1,0.0356,0.149,0,0.159,0.295,85.041,244133,4
"Bad Habits","SHAUN","4QUjn6cprNKiyA8dMTOQ33",0.75,0.755,5,-3.792,1,0.0284,0.013,1.03e-06,0.539,0.647,120.001,212959,4
"Angel","Chancellor","6O5mgpq2xv3ZQGXnL3TNVW",0.622,0.314,8,-8.187,0,0.037,0.817,0,0.136,0.522,89.961,264052,4
"비행운 Contrail","MoonMoon","2bICXpyhEG16g9sKHugKjL",0.843,0.395,7,-6.322,0,0.0345,0.832,8.52e-05,0.257,0.741,101.979,178824,4
"Like A Fool","NIve","1E8Cztx0OIj4zm1IZh2XXj",0.496,0.491,9,-8.628,1,0.287,0.55,0,0.123,0.5,176.92,214427,3
"Lonely","BOL4","4nKUOjjEeLsxbAxTYrwYOA",0.556,0.246,3,-8.017,1,0.0359,0.934,0,0.0981,0.362,76.937,217342,4
"Two People","Sung Si Kyung","0So68mrxJlHXuoVdPxWL4B",0.409,0.17,9,-15.687,1,0.036,0.949,3.21e-06,0.102,0.459,142.417,256105,4
"Rain Drop","SOYOU","313sBpGTnLuF7GskazEsi9",0.608,0.508,0,-5.128,0,0.0698,0.704,0,0.405,0.452,89.797,224347,4
"I'II be your star","So Soo Bin","0l9LpCsYufB1e5PJSvOXbU",0.746,0.427,6,-6.994,1,0.0435,0.812,0,0.143,0.464,85.021,204942,4
"lie","Yang Da Il","1C8vJqfSxRgF2lAxnwJz9E",0.387,0.462,10,-5.583,1,0.034,0.568,0,0.11,0.2,134.674,228549,4
"Dear Name","IU","1DP0uwV6tMlCEfR61Mh7ki",0.312,0.589,2,-5.071,1,0.0334,0.459,0,0.106,0.237,133.854,289580,3
"You","Dynamicduo","3qqcavKhQkzyyqGC5UDIAL",0.693,0.744,5,-5.901,0,0.114,0.746,0,0.251,0.426,119.704,221533,4
"Sometimes","Punch","7hnmYFL1AeiRJyYpIBAMVM",0.635,0.496,11,-7.143,1,0.0326,0.5,0,0.258,0.562,84.895,220514,4
"Gift","MeloMance","6pDvQuoG0AhHTdy7yWyvMG",0.673,0.444,4,-6.745,1,0.0279,0.502,0,0.0867,0.523,80.008,260607,4
"Missed Call","OVAN","22g2Ttk9ICOuAc8an32gOE",0.645,0.527,9,-6.751,1,0.0571,0.787,0,0.24,0.386,90.007,181667,4
"This Night (feat. Blue.D, Jhnovr)","GroovyRoom","626C6JMdKevCTv10pLeHJf",0.405,0.651,1,-5.613,0,0.199,0.353,0,0.0828,0.466,84.004,215213,4
"Square (2017)","Yerin Baek","0WZhf0isd4av5qlFfKknC3",0.514,0.792,8,-5.242,1,0.0404,0.0626,0,0.259,0.514,99.89,261763,4
"Sad Love Song","KozyPop","4hhEGwAhliHUyKPXy2ipDl",0.484,0.705,7,-4.732,1,0.0676,0.911,0,0.255,0.638,84.899,182062,4
"Vacation","Gaeko","0NOummEOCzgG8iRZ2qFJd2",0.428,0.38,5,-8.96,1,0.043,0.591,0,0.0914,0.071,137.853,257797,4
"For Now","Kwon Jinah LOVE Sam Kim","2wujxMwIMLmnlXoQ08obtb",0.67,0.406,4,-6.261,1,0.0671,0.186,0,0.0748,0.14,113.49,231629,4
"When it rains","JEONG SEWOON","2PCuf7YxiRexs78SD5BwnG",0.636,0.491,11,-6.884,1,0.0365,0.583,0,0.124,0.263,129.742,227507,4
"I know what is the love after broke up","Standing Egg","1izGHQNj7Oh8dcGhY7xi3r",0.46,0.413,10,-4.829,1,0.0335,0.599,0,0.102,0.224,132.129,259840,4
"Starry Night","BoA","1CyH9zoX9abqsa3xPrVUsn",0.365,0.774,4,-3.433,1,0.293,0.201,0,0.241,0.46,186.183,210760,4
"99","Standing Egg","0NVc9dRJa7IqBbOPvuDqwq",0.4,0.591,11,-4.958,1,0.0323,0.603,0,0.282,0.664,175.668,212787,4
"Photograph","offonoff","0PkpRtJqrwuXhbdtJuQm7E",0.597,0.458,3,-8.295,1,0.0609,0.809,0,0.105,0.184,90.15,239003,4
"Shouldn't Have...","Baek A Yeon","4F9EZD74cDuCwqn3neLqJE",0.496,0.639,6,-3.145,1,0.0809,0.712,0,0.194,0.442,170.917,212762,3
"To You My Light (feat. LEE RAON)","MAKTUB","5kPpA4aMFeAQnahSnTIOi4",0.509,0.573,5,-5.29,1,0.0333,0.242,0,0.155,0.305,149.948,265587,3
"I'd be sad if you were gone","slchld","4a6Pmf6JxwAfyQvN5cJ8f4",0.359,0.252,5,-12.082,1,0.0347,0.908,0,0.22,0.23,141.796,205845,4
"แอบดี (How to live without you)","Stamp","1wl5vs3SCMPpHTIR8IW8nJ",0.629,0.598,0,-6.654,1,0.0304,0.454,2.82e-05,0.204,0.442,103.979,241125,4
"Pretty girl","Crayon","3BX4s21i59qVBRMDunqSqj",0.669,0.914,8,-3.159,1,0.0474,0.0985,0,0.141,0.85,97.967,212733,4
"CRAZY - Hidden Track No.V 11월 선정곡","John OFA Rhee","65SmmdQMq0EOkwgbcyBDWG",0.629,0.265,0,-10.621,1,0.0811,0.845,0.00139,0.104,0.256,67.954,226103,4
"Inception (feat. 1ho & Chan)","Airman","5yeABnBYoGmxCxDylkNLg5",0.592,0.384,11,-9.489,1,0.0394,0.87,0,0.166,0.319,88.959,201130,4
"The Reason for My Spring","Paul Kim","3ERVOpLjav7jCJCUn1vNE2",0.56,0.238,7,-10.78,1,0.0321,0.887,3.03e-06,0.104,0.341,66.954,200640,4
"OCEAN","KOREA CRACKER","5sCwshjdYivIeXRwhVdgDw",0.656,0.605,4,-4.463,1,0.0418,0.743,0,0.481,0.718,90.066,198893,4
"Still (feat. Stella Jang)","John OFA Rhee","5E3jHSopOlnv4UZ5P7EkEb",0.53,0.457,9,-7.68,1,0.073,0.635,1.33e-06,0.143,0.481,202.987,260615,4
"What can I do","ACOURVE","6lMwrY5yRLMEG4WyuCEsFv",0.783,0.276,9,-7.55,1,0.0321,0.771,0,0.101,0.606,100.038,207789,4
"Vacance in September","KIM JAE HWAN","3SZit36toAsecvUWqMrit4",0.519,0.557,0,-6.02,1,0.0589,0.393,0,0.248,0.345,73.895,207653,4
"Tryin' to forget you (Feat. Double4Nine)","J_ust","3WligRZmcEPhsWT7iZClsH",0.701,0.411,11,-8.428,1,0.0465,0.783,0,0.0856,0.656,76.127,219333,4
"How Is Your Night","J_ust","0b3gVNccZdoCLUZ4Dzaase",0.755,0.365,0,-7.461,0,0.0294,0.826,0,0.109,0.57,92.048,263453,4
"HELLO","Rothy","6RFFcuwXQwmxF1djh4xTuH",0.478,0.52,6,-6.401,0,0.0752,0.715,0,0.216,0.364,73.454,205307,4
"You&I 인사","MeloMance","6AoISiNZ4ibepHHkBGHvNH",0.521,0.429,8,-6.02,1,0.0273,0.674,0,0.185,0.334,85.072,221333,4
"Some (feat. Lil Boi)","SOYOU","0g1AmSKokPboFrxmG1dxKx",0.738,0.676,11,-3.025,0,0.0507,0.446,0,0.253,0.961,95.04,211375,4
"Wish You Well","Jeff Bernat","5lKMZR9Imi8RREERjaJEb6",0.468,0.295,10,-12.892,1,0.039,0.897,0,0.113,0.171,114.744,218880,3
"You","J_ust","6sVOlXQGNOtnZE2M2goGv4",0.653,0.363,10,-8.186,1,0.0362,0.881,0,0.264,0.381,81.994,235976,4
"NOBODY","Blue.D","0iBh2ZfirDzFDkqrvkvoiW",0.53,0.426,5,-7.134,0,0.0511,0.564,0,0.299,0.485,87.201,201184,4
"Replay","Finding Hope","5rihH3EBjZsGhbyzx9Bok7",0.701,0.278,3,-11.049,0,0.0734,0.404,7.6e-06,0.127,0.0534,80.008,183331,4
"Lullaby","IU","7BUtoP9NXEe7MgWvIG2KGE",0.473,0.297,3,-6.706,1,0.0339,0.889,0,0.133,0.292,129.083,261720,4
"By My Side","JUNNY","6nzCvAtyADh0wwZEVMoujK",0.466,0.429,8,-4.52,1,0.0445,0.672,0,0.0928,0.375,179.462,206680,3
"POOL(Feat. Sumin)","WOODZ","3fCZKucLEtLkTLtRUZrfkG",0.724,0.453,5,-8.588,1,0.0643,0.449,7.6e-06,0.0834,0.637,119.937,227495,4
"Stupid","Vincent Blue","5VDUaguu4uxJ4Qj82e9aMN",0.564,0.346,6,-8.668,0,0.028,0.679,0,0.248,0.397,93.714,247657,4
"When I fall in love","Primary","0ugyxS9JdWbMuZXGqyTO3F",0.629,0.546,7,-5.558,1,0.0366,0.186,0.00109,0.136,0.423,93.975,257987,4
"8","Marteen","1NClu8KaILshbx1skv9xJ9",0.784,0.479,3,-6.983,1,0.0756,0.0187,0,0.111,0.528,142.031,143663,4
"Leave Me Alone","HIGHLIGHT","5Bxnbwc8ZdiaCCfebehdpn",0.632,0.962,10,-0.659,1,0.118,0.183,0,0.0898,0.603,129.983,198985,4
"Rain is fallin'","d.ear","3Y9WZWdroXHshdin16KLL2",0.389,0.331,0,-8.769,0,0.0384,0.669,0,0.105,0.148,121.521,219120,4
"Gravity","TAEYEON","1fzLM4SRonzoHm723a2mP5",0.597,0.515,10,-5.62,1,0.0382,0.0898,1.27e-06,0.111,0.142,153.871,239500,3
"비 오는 밤이니까요","nokdu","6PzRsicdXqGZaL32BTIeTB",0.394,0.402,6,-7.393,1,0.0274,0.186,2.16e-05,0.599,0.26,149.878,234572,4
"30","Lee Aram","2mF0a6QdJY5WDWar4THKyi",0.69,0.605,11,-7.504,1,0.176,0.472,0,0.14,0.755,158.01,204600,4
"미치게","Onestar","46qGriUk03xZ7vkH2gMXv5",0.392,0.451,3,-6.077,1,0.0352,0.793,0,0.174,0.331,135.187,253453,4
"Somethink","The Colored Paper","2S1Y3QDbYtkkOx2Vahgv56",0.849,0.558,2,-6.074,1,0.264,0.207,0,0.0876,0.825,80.087,219187,4
"너를 위해","Lee Hong Gi","5vvOBEiVYdvmNXFTO85zt5",0.462,0.452,4,-6.337,1,0.0274,0.611,0,0.127,0.129,135.885,243618,4
"Yuki No Hana","parkjiyoon","0OW32CZeDTA7DSCv160CZN",0.36,0.372,11,-5.732,1,0.0289,0.871,0,0.727,0.376,133.359,358166,4
"Dear Moon","JeHwi","7aUdJ5M8OT4UemUFlEL90w",0.401,0.373,0,-7.017,1,0.0266,0.804,2e-06,0.4,0.0957,75.036,298610,4
"You're The Reason 이 밤이 특별해진 건","Urban Zakapa","1lxC8oDMNaxfhhseIThJGg",0.339,0.238,9,-7.432,1,0.0386,0.542,4.72e-06,0.133,0.171,129.006,257760,4
"Additional","Paul Kim","3axXgFQ1Q8cvwnpSqMAwn1",0.48,0.415,2,-7.424,1,0.0445,0.385,0.000541,0.0844,0.173,91.611,227457,4
"Somehow","O3ohn","3fxrm2OCxsSwwiVe1YlpBN",0.622,0.256,2,-13.11,1,0.034,0.842,9.29e-05,0.112,0.423,145.828,192980,3
"Hold Me Like It’s Forever","Fromm","6QZJTunvjAU44kpXzDNXzn",0.583,0.488,4,-5.741,0,0.0281,0.808,1.57e-06,0.15,0.438,92.05,183004,4
"The End","Kwon Jin Ah","2ni7hrjb9cfzxRCG1cgP4o",0.453,0.356,8,-5.301,1,0.0633,0.812,0,0.12,0.15,54.11,237956,3
"45.7cm (feat.OOHYO)","Yu Seung Woo","4h2fsF8dnXtqx4SNsF15KW",0.686,0.428,2,-7.502,1,0.0411,0.657,0,0.199,0.486,92.976,212162,4
"Pretend","Suzy","3LqTvm2QjnzrIh6bpDU5sv",0.553,0.483,11,-7.582,1,0.0899,0.728,0,0.22,0.491,85.788,221840,4
"To You","YOONA","4cDg0dpsqGIhbwXelJ0hgV",0.566,0.0976,7,-11.58,0,0.0453,0.986,0.0169,0.11,0.202,111.309,275502,3
"So-so","Baek A Yeon","1F3PSls61sG4NvY5S6gt7Y",0.702,0.491,6,-4.441,1,0.0396,0.81,0,0.125,0.301,67.217,212642,4
"Tired","NIve","7BWvtYsoM6KzgsXXVpYPqA",0.72,0.427,9,-7.731,1,0.084,0.408,0,0.111,0.383,76.015,229840,4
"phobia","Dvwn","4zKu3TJUUoGWjoS0jQg7bm",0.373,0.443,8,-4.187,1,0.0281,0.401,0,0.14,0.351,109.99,223517,3
"SULLAE","Rothy","4uGYq094089uaLE2KXtk8U",0.471,0.622,7,-6.06,1,0.0302,0.476,0,0.143,0.404,141.826,208769,4
"Rain & You","BUMKEY","6wdPOrD3wXNq4WIUprJ7qi",0.508,0.508,11,-5.264,1,0.034,0.782,0,0.12,0.28,125.803,272024,4
"Empty words","Huh Gak","3Hf9mJbB2Pif4n3VkB1Lzg",0.576,0.407,4,-5.818,1,0.0374,0.708,0,0.109,0.367,79.984,252145,4
"Knees","IU","3Sc3OHN2EnhsKwzt7hMFKQ",0.441,0.238,0,-10.132,1,0.0319,0.915,0,0.176,0.203,133.386,282887,4
"Wonder","Austn","7AB45IElUoZYvY0pd5GLqY",0.58,0.496,3,-8.205,0,0.112,0.847,0,0.112,0.683,149.802,205478,4
"Mattress","10CM","7f5P2kfP16dELU9TOB53pL",0.735,0.49,0,-5.659,1,0.151,0.713,0,0.096,0.546,93.359,170755,4
"내가 니편이 되어 줄게 I Will Be on Your Side","Coffeeboy","15EEempFA9NjYGXhjxs9H7",0.604,0.127,0,-17.202,1,0.0308,0.779,0.00103,0.0939,0.169,131.908,357120,4
"Anymore (Feat. Whee In of MAMAMOO)","JUNGKEY","72X2j4RIxqhho6A60i3Uk1",0.525,0.39,1,-6.06,1,0.0791,0.549,0,0.295,0.138,68.924,258112,4
"fall","Crush","28rrN7Ld05dEpnzfbveu0A",0.634,0.402,0,-9.011,1,0.0313,0.849,7.36e-06,0.0678,0.247,85.003,231572,4
"스토커 Stalker","10CM","2xms6U7ngGDBYJ4RnRTPyz",0.583,0.288,1,-5.907,1,0.0288,0.816,0,0.106,0.218,136.014,252801,4
"Today (Feat. DOKO)","JUNGKEY","3h9ImnrxfnQaD0SuL5SGTy",0.7,0.363,4,-9.658,0,0.0462,0.704,6.68e-06,0.108,0.191,85.938,224892,4
"However 그러나","10CM","0ev8crclMywVotZwnDqMh3",0.347,0.236,3,-6.51,1,0.035,0.855,0,0.104,0.29,168.464,230909,3
"What I want to say","ACOURVE","4door6xOPf2auseb5Foc9f",0.51,0.274,1,-8.942,1,0.0373,0.771,0,0.0995,0.84,82.223,213211,4
"Hate Everything - Korean Version","GSoul","7hXTyDaFuwx9t8b52sf6d3",0.374,0.249,10,-9.389,1,0.0336,0.876,0,0.104,0.33,181.076,205760,3
"Call Me Now","O.WHEN","5CIszfSGEmdbs6HCucszHv",0.535,0.332,11,-6.196,1,0.0312,0.721,0,0.242,0.292,78.998,237173,4
"Take A Nap","Airman","2swePREj3aFglLkOWQJCkn",0.814,0.442,7,-7.612,1,0.0291,0.605,0.000192,0.12,0.673,87,191873,4
"Lover","Kevin Oh","5ME9rtHtKKPK0TbkJ3CI6u",0.39,0.321,6,-7.668,1,0.0317,0.745,0,0.106,0.442,123.683,219646,4
"To My Unloving Self","Park Boram","38vMjlKPV4sl9noW4rv2bH",0.465,0.279,11,-8.946,1,0.0337,0.878,0,0.126,0.427,62.35,215715,4
"Acacia","MoonMoon","0joWBqlVxPBSExJ6uTrnYn",0.76,0.33,4,-9.21,1,0.0321,0.932,0.000176,0.254,0.652,104.961,221147,4
"I′m In Love (Piano RMX)","Ra.D","6M2CiAIc4lZLAqJZPf690z",0.462,0.285,0,-10.352,1,0.0574,0.915,6.56e-06,0.144,0.411,74.136,234613,4
"Try","Paul Kim","1sqbCfAyuuY9iTlpjyzFkH",0.75,0.549,8,-9.931,1,0.114,0.581,0.00131,0.0863,0.376,105.012,189732,4
"명동콜링","Car, the garden","47Euae10UxFEcbnR9I9Vgt",0.506,0.379,11,-5.681,1,0.0333,0.559,0,0.113,0.124,134.282,236579,4
"Last","Dvwn","1soyZAqoYDKzfEq3xiOKuN",0.697,0.389,7,-5.435,1,0.0337,0.121,0,0.106,0.461,124.032,235667,3
"Star","GB9","7wlZKJsND54NOmXijSffal",0.414,0.475,11,-3.946,1,0.0325,0.65,0,0.123,0.3,169.813,237888,3
"Blueming","IU","4Dr2hJ3EnVh2Aaot6fRwDO",0.819,0.674,0,-3.145,1,0.0587,0.0849,0,0.0667,0.682,106.032,217053,4
"When Night Is Falling","Punch","5IwfW0ANWwG79pIRaajSHh",0.519,0.576,5,-4.737,1,0.0492,0.617,0,0.131,0.503,168.669,205680,4
"youknowbetter 니가 더 잘 알잖아","HYOLYN","1ej66Z3M6DfmoZeJCSrOxN",0.577,0.599,6,-6.805,0,0.1,0.022,0,0.156,0.474,101.985,218235,4
"Runaway - Remix","Tiffany Young","5Op4QlUlQbeXYOfRgvKn5i",0.658,0.465,5,-8.767,1,0.0367,0.154,0,0.107,0.264,130.064,227538,4
"meaningless","WOODZ","0C20JT2rIWqwg1LC0W4jgT",0.57,0.499,8,-6.339,1,0.0574,0.14,0,0.315,0.437,80.025,225394,4
"Don't leave me, My love","Colde","5zMwSzQQoEIzqtE5iQjPR1",0.338,0.279,9,-11.199,1,0.0345,0.93,3.13e-06,0.359,0.209,114.99,285000,4
"Goodbye, fall","ROCOBERRY","0LBSNshLNvYTiP6b4K1RzD",0.485,0.401,8,-8.781,1,0.0289,0.889,0.0478,0.117,0.167,123.825,221129,4
"If","TAEYEON","76do9IBWqoiwV3EyoP25Le",0.538,0.346,9,-7.127,1,0.0294,0.827,0,0.0973,0.266,145.714,265613,4
"Think About You","Vanilla Acoustic","58JKzX1TXgOUsD1zeIrEaL",0.498,0.653,5,-5.683,1,0.0623,0.748,0,0.23,0.597,179.916,217388,4
"Treat Me Bad (feat. Hwa Sa of MAMAMOO)","K.Will","2wqTSNnrZhJxVs0Y4TWQO1",0.628,0.529,10,-6.147,0,0.316,0.437,0,0.206,0.593,70.323,192962,4
"Beginning","Rain","5jlv8wYYeoyh6tP1idp97O",0.567,0.708,7,-6.322,1,0.0687,0.592,0,0.109,0.376,98.777,227174,4
"Mask Singer 166th - 아버지 (Live Version)","Solji","6GRIRZOM1oHLRKG6I3t9DW",0.485,0.436,6,-5.809,1,0.0385,0.494,0,0.0946,0.155,132.24,278865,4
"Different (with Tea Yeon)","KIM BUMSOO","0W7YKDp4n9CaN2q8prQnyL",0.571,0.455,3,-5.929,0,0.0276,0.687,1.39e-06,0.0917,0.157,103.054,260153,4
"ME","CLC","7w3mCZJZbfXzNebD5vktMI",0.752,0.804,11,-3.512,0,0.0656,0.022,1.76e-05,0.0865,0.795,146.943,193253,4
"First (Feat. SOLE)","Jooyoung","2963MkC6KW2cflDf5fh9Bf",0.667,0.319,6,-8.276,1,0.0437,0.883,0,0.111,0.304,106.064,204731,4
"IF I","Wynn","3uOVopyObWmcrGbTsKu4sH",0.407,0.503,0,-8.984,0,0.0436,0.837,0.000109,0.332,0.269,136.239,188004,4
"Faded Photo","Lowhi","0yfFGJt1oeODR9VZYv12sT",0.593,0.408,2,-9.218,1,0.0268,0.75,0.00357,0.127,0.357,83.949,264109,4
"Sérénade","JUNE","3BTspElzsx3FmhIlovBIYD",0.657,0.624,6,-4.921,1,0.334,0.459,0,0.19,0.794,84.928,206014,4
"How Can I (feat. Zoe Carovano)","Sentimental Scenery","3L8NV1XmWMUdlSAttlJ5h5",0.669,0.561,0,-5.052,1,0.0959,0.447,2.5e-06,0.22,0.374,103.338,203032,3
"Thinkin' bout you","OuiOui","27Hxs296yT3pqi7fJH5owd",0.686,0.569,3,-5.115,1,0.269,0.647,0,0.304,0.728,85.165,216360,4
"Bloom","JIDA","32nzW24rnJZOzXzMK0z1XF",0.513,0.322,2,-8.142,1,0.0273,0.899,1.51e-06,0.354,0.151,99.806,222440,3
"stability","oceanfromtheblue","7xGqEHqXP2qtXoEm2dwBqd",0.44,0.522,5,-6.142,0,0.3,0.576,0,0.0853,0.181,87.088,243219,4
"Merry And The Witch’s Flower","Yerin Baek","55tdBGmnhA3pPqn9Ih4vzb",0.309,0.44,2,-10.227,1,0.0627,0.847,0.000113,0.157,0.142,165.829,244807,4
"Silly love","gani","2hrsWOn2TTQg07x59FwDxo",0.577,0.434,2,-5.431,1,0.0938,0.485,0,0.103,0.354,119.726,175073,3
"The One","Sam Kim","7rcL5IBSL2iInm5IPjAC2K",0.589,0.487,5,-6.916,0,0.066,0.371,0.000573,0.113,0.627,153.821,259155,4
"Good bye","Whee In","2HtfUqxjCYNa5xT1YmoAuj",0.568,0.329,0,-5.655,1,0.0329,0.639,0,0.262,0.252,119.961,252640,4
"Yours","Raiden","4KL3FJYexPrPuMdPagHPXp",0.676,0.774,8,-3.988,1,0.0338,0.137,0,0.106,0.392,86.994,235413,4
"Moonlight","Ha Hyun Sang","7h4ULaCZAR1KEFEPzbWY5k",0.589,0.439,2,-7.297,1,0.0413,0.751,0.000146,0.1,0.256,125.879,207999,4
"She Didn't Love Me","Yang Da Il","3WvGhuDPwl0UHWQSHTBo9D",0.568,0.601,11,-4.301,1,0.0349,0.417,0,0.146,0.36,119.844,269127,3
"Bad Love","HYNN","488mXgKGA5CM3kn6pAngDZ",0.573,0.419,5,-5.256,1,0.0333,0.745,0,0.1,0.258,129.584,212802,4
"Goodbye list","Kim Na Young","0ixcqcuUo7w4f6JQJ0cdxt",0.408,0.457,2,-5.654,1,0.0383,0.763,0,0.102,0.192,69.677,263147,3
"friend to lover","Standing Egg","7un5FM27KmkEMpsPQ2T062",0.675,0.376,6,-7.739,1,0.0642,0.825,0,0.105,0.592,83.967,187947,4
"Out of Breath","Babylon","7iOpzP4cIkl6mQIpI2AFmQ",0.483,0.748,5,-5.068,1,0.115,0.407,1.73e-06,0.266,0.563,84.766,223634,4
"2cm (Feat. Paul Kim)","MINSEO","39e94FibEyArAANIAxDMbk",0.636,0.557,5,-5.346,0,0.123,0.68,0,0.121,0.67,90.01,193968,4
"Under The Moon-light 우린 나란히 앉아","saevom","25CZZwDOl3w7Wm7TeYI6vt",0.562,0.623,7,-5.06,1,0.0378,0.488,3.92e-05,0.179,0.437,152.09,224004,4
"girls are innocent","slchld","3MEQwSaxf0fMQWJNzTCh2e",0.651,0.664,8,-3.797,1,0.253,0.57,0,0.201,0.792,78.943,171684,4
"Once Upon a Time","Jeff Bernat","7fU0YxB4RyawfEDv6vtYG7",0.709,0.302,2,-8.474,1,0.0425,0.359,0.0263,0.16,0.594,83.026,234107,4
"All Alone (Feat. BrotherSu)","MIND U","2phImRcqOev8XOfwlNnRb4",0.739,0.511,1,-6.52,1,0.0363,0.31,0,0.0755,0.673,99.035,229316,4
"Wait a Minute","ACOURVE","0B0UfiKDqGRZcuOoulMGZj",0.377,0.306,10,-9.66,1,0.0509,0.872,0,0.112,0.389,78.833,225373,4
"Somebody","Sunday Moon","0XLORO8d7WV66y49E7bxrI",0.421,0.197,4,-9.478,1,0.0352,0.795,1.22e-06,0.136,0.228,139.271,238775,4
"ManyMani Many많이","Today's hot song","0uwb9jgfy2QKRUOi7PWEW5",0.569,0.417,11,-6.629,1,0.063,0.774,0,0.119,0.428,175.788,200016,4
"KnoCK (Feat. Yerin Baek)","CODE KUNST","5B0tCZgtjkbTevFsIr5wDb",0.439,0.702,7,-8.354,1,0.621,0.937,7.92e-06,0.108,0.29,147.612,199827,4
"I’m an independent man","Mokyo","0e4vL0LP3FEQRgsicfxbfu",0.611,0.346,1,-10.435,0,0.0512,0.855,0.0998,0.271,0.304,110.06,195665,4
"Yeosu Night Sea","Busker Busker","0jyFdJsPFkj7zzoXzW0vMD",0.239,0.498,4,-6.182,1,0.042,0.348,7.83e-06,0.0958,0.227,199.192,279909,3
"why break up?","Sin Ye Young","3UPjb91Fwm7u2tAm92Bk0p",0.554,0.526,7,-5.21,1,0.0394,0.808,0,0.074,0.23,129.845,247360,4
"우리 참 오래 만났었나 봐","1415","1B4qW2AoSQ0dO3nVXUvbKs",0.37,0.341,8,-8.101,1,0.0373,0.593,0,0.119,0.156,71.322,267985,4
"How Do You Think","CHEEZE","1xfu5RELA5t2E2KeOG2ePD",0.877,0.516,6,-6.045,1,0.0341,0.491,0,0.0908,0.884,100.965,205693,4
